Сталь;C;Si;Mn;Cr;Ni;Ti;Al;W;Mo;Nb;V;S;P;Cu;Co;Zr;Be;Se;N;Pb;Fe;Класс;Использование
15Л;0,12 - 0,2;0,2 - 0,52;0,3 - 0,9;до 0,3;до 0,3;0;0;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~99;Класс: Сталь для отливок обыкновенная;Использование в промышленности: копровые бабы, блоки, ролики, корпусы, поводки, захваты, пильные рамы, детали сварно-литых конструкций с большим объемом сварки, плиты, подушки и другие неответственные детали, работающие под действием средних статических и динамических нагрузок. 
20Г1ФЛ;0,16 - 0,25;0,2 - 0,5;0,9 - 1,4;0;0;до 0,05;0;0;0;0;0,06 - 0,12;до 0,05;до 0,05;0;0;0;0;0;0;0;~98;Класс: Сталь для отливок обыкновенная;Использование в промышленности: рамы, балки, корпуса и др. детали вагонов
20ГЛ;0,15 - 0,25;0,2 - 0,4;1,2 - 1,6;0;0;0;0;0;0;0;0;до 0,04;до 0,04;0;0;0;0;0;0;0;~98;Класс: Сталь для отливок обыкновенная;Использование в промышленности: диски, звездочки зубчатые венцы и др. детали, к которым предъявляются требования по прочности и вязкости, работающие под действием статических и динамических нагрузок
20ГНМФЛ;0,14 - 0,25;0,2 - 0,4;0,8 - 1,4;до 0,3;0,8 - 1,2;0;0;0;0,15 - 0,25;0;0,06 - 0,12;до 0,03;до 0,03;0;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: отливки, предназначенные для эксплуатации в условиях низких температур и высоких скоростей нагружения.
20ГСЛ;0,16 - 0,22;0,6 - 0,8;1 - 1,3;0;0;0;0;0;0;0;0;до 0,03;до 0,03;0;0;0;0;0;0;0;~98;Класс: Сталь для отливок обыкновенная;Использование в промышленности: корпусные детали гидротурбин, работающие при температуре до 450 град.
20ДХЛ;0,15 - 0,25;0,2 - 0,4;0,5 - 0,8;0,8 - 1,1;0;0;0;0;0;0;0;до 0,04;до 0,04;1,4 - 1,6;0;0;0;0;0;0;~98;Класс: Сталь для отливок обыкновенная;Использование в промышленности: ответственные нагруженные детали, к которым предъявляются требования высокой прочности и достаточной вязкости, работающие под действием статических и динамических нагрузок
20Л;0,17 - 0,25;0,2 - 0,52;0,35 - 0,9;до 0,3;до 0,3;0;0;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~99;Класс: Сталь для отливок обыкновенная;Использование в промышленности: шаботы, арматура, фасонные отливки деталей общего машиностроения, изготовляемые методом выплавляемых моделей, детали сварно-литых конструкций и другие детали, работающие при температуре от —40 до 450 °С.
20ФЛ;0,14 - 0,25;0,2 - 0,52;0,7 - 1,2;до 0,3;до 0,3;0;0;0;0;0;0,06 - 0,12;до 0,05;до 0,05;до 0,3;0;0;0;0;0;0;~99;Класс: Сталь для отливок обыкновенная;Использование в промышленности: крупногабаритные детали грузовых вагонов: корпус автосцепки, тяговый хомут, надрессорная балка и боковая рама тележки. 
20ХГСНДМЛ;0,18 - 0,24;0,9 - 1,2;0,9 - 1,3;0,6 - 0,9;1,1 - 1,5;0,03 - 0,07;0;0;0,1 - 0,15;0;0;до 0,045;до 0,05;0,4 - 0,6;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: кронштейны и другие детали, к которым предъявляются требования высокой прочности и достаточной вязкости.
20ХГСФЛ;0,14 - 0,21;0,5 - 0,8;0,9 - 1,3;0,3 - 0,6;до 0,4;0;0;0;0;0;0,07 - 0,13;до 0,03;до 0,035;0;0;0;0;0;0;0;~98;Класс: Сталь для отливок обыкновенная ;Использование в промышленности: литые, сварнолитые детали машин в северном исполнении, гидравлические коробки. 
20ХМЛ;0,15 - 0,25;0,2 - 0,42;0,4 - 0,9;0,4 - 0,7;до 0,3;0;0;0;0,4 - 0,6;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: детали, работающие длительное время при температуре до 500 °С.
20ХМФЛ;0,18 - 0,25;0,2 - 0,4;0,6 - 0,9;0,9 - 1,2;0;0;0;0;0,5 - 0,7;0;0,2 - 0,3;до 0,025;до 0,025;0;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: детали арматуры, корпусные детали, цилиндры, работающие при температуре до 540 град.
23ХГС2МФЛ;0,18 - 0,24;1,8 - 2;0,5 - 0,8;0,6 - 0,9;0;0;0;0;0,25 - 0,3;0;0,1 - 0,15;до 0,025;до 0,025;0;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: детали ответственного назначения со стенкой толщиной до 30 мм, работающие в условиях циклических и ударных нагрузок и в условиях ударно-абразивного износа
25ГСЛ;0,22 - 0,28;0,6 - 0,8;1 - 1,3;до 0,3;до 0,3;0;0;0;0;0;0;до 0,3;до 0,3;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: лопасти гидротурбин, зубчатые  венцы и колеса, втулки, сектора, колонны, детали сварно-литых  конструкций с большим объемом сварки.
25Л;0,22 - 0,3;0,2 - 0,52;0,35 - 0,9;до 0,3;до 0,3;0;0;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: станины прокатных станов, шкивы, траверсы, поршни, буксы, крышки цилиндров, плиты настильные, рамы рольгангов и тележек, мульды, корпусы подшипников, детали сварно-литых конструкций и другие детали, работающие при температуре от —40 до 450 °С под давлением. 
25Х2Г2ФЛ;0,22 - 0,27;0,7 - 0,9;1,6 - 1,8;1,8 - 2,2;до 0,3;0;0;0;0;0;0,15 - 0,2;до 0,02;до 0,02;до 0,3;0;0;0;0;0;0;~94;Класс: Сталь для отливок обыкновенная;Использование в промышленности: для отливок
25Х2ГНМФЛ;0,22 - 0,3;0,3 - 0,7;0,7 - 1,1;1,4 - 2;0,3 - 0,9;0;0;0;0,2 - 0,5;0;0,04 - 0,2;до 0,025;до 0,025;0;0;0;0;0;0;0;~95;Класс: Сталь для отливок обыкновенная;Использование в промышленности: детали ответственного назначения со стенкой толщиной до 50 мм, работающие в условиях статических и динамических нагрузок
25Х2НМЛ;0,22 - 0,3;0,2 - 0,45;0,5 - 0,8;1,6 - 2;0,6 - 0,9;0;0;0;0,2 - 0,3;0;0;до 0,04;до 0,04;0;0;0;0;0;0;0;~95;Класс: Сталь для отливок обыкновенная;Использование в промышленности: отливки для деталей тяжелого и  транспортного машиностроения, работающих в условиях низких температур и  повышенных условиях нагружения.
27Х5ГСМЛ;0,24 - 0,28;0,9 - 1,2;0,9 - 1,2;5 - 5,5;0;0;0;0;0,55 - 0,6;0;0;до 0,02;до 0,02;0;0;0;0;0;0;0;~91;Класс: Сталь для отливок обыкновенная;Использование в промышленности: высоконагруженные детали ответственного назначения со стенкой толщиной до 50 мм, работающие в условиях ударных нагрузок и ударно-абразивного износа
30ГЛ;0,25 - 0,32;0,2 - 0,5;1,4 - 1,7;0;0;0;0;0;0;0;0;до 0,04;до 0,04;0;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: Нет данных о применении
30ГСЛ;0,25 - 0,35;0,6 - 0,8;1,1 - 1,4;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная ;Использование в промышленности: зубчатые колеса, ролики, обоймы, зубчатые венцы, рычаги, фланцы, шкивы, сектора, колонны, ходовые колеса и другие детали. 
30Л;0,27 - 0,35;0,2 - 0,52;0,4 - 0,9;до 0,3;до 0,3;0;0;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: рычаги, балансиры, корпусы редуктора, муфты, шкивы, кронштейны, детали сварно-литых конструкций, чаши и конусы засыпных аппаратов, станины, балки, опорные кольца, бандажи, маховики и другие детали, работающие под действием средних статических и динамических нагрузок. 
30Х3С3ГМЛ;0,29 - 0,33;2,8 - 3,2;0,7 - 1,2;2,8 - 3,2;0;0;0;0;0,5 - 0,6;0;0;до 0,02;до 0,02;0;0;0;0;0;0;0;~92;Класс: Сталь для отливок обыкновенная;Использование в промышленности: высоконагруженные детали ответственного назначения со стенкой толщиной до 30 мм, к которым предъявляются требования высокой прочности и достаточной вязкости
30ХГСФЛ;0,25 - 0,35;0,4 - 0,6;1 - 1,5;0,3 - 0,5;до 0,3;0;0;0;0;0;0,06 - 0,12;до 0,05;до 0,05;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: шестерни, зубчатые колеса и другие детали машиностроения.
30ХГФРЛ;0,28 - 0,36;0,2 - 0,6;0,8 - 1,25;0,5 - 0,9;до 0,3;0;0;0;0;0;0,05 - 0,1;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: зубчатые колеса, шестерни, блоки.
30ХНМЛ;0,25 - 0,35;0,2 - 0,4;0,4 - 0,9;1,3 - 1,6;1,3 - 1,6;0;0;0;0,2 - 0,3;0;0;до 0,04;до 0,04;0;0;0;0;0;0;0;~95;Класс: Сталь для отливок обыкновенная;Использование в промышленности: ответственные нагруженные детали, к которым предъявляются требования высокой прочности и достаточной вязкости, работающие под действием статических и динамических нагрузок при температуре до 400 град.
32Х06Л;0,25 - 0,35;0,2 - 0,4;0,4 - 0,9;0,5 - 0,8;до 0,3;0;0;0;0;0;0;до 0,05;до 0,05;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: кронштейны, балансиры, катки и  другие ответственные детали с толщиной стенки до 50 мм и общей массой  детали до 80 кг. Различные детали вагоностроения.
35ГЛ;0,3 - 0,4;0,2 - 0,4;1,2 - 1,6;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная ;Использование в промышленности: диски, звездочки, зубчатые венцы, барабаны, шкивы, крестовины, траверсы, ступицы, вилки, решетчатые стрелы и другие тяжелонагруженные детали экскаватора, крышки подшипников, цапфы. 
35Л;0,32 - 0,4;0,2 - 0,52;0,4 - 0,9;до 0,3;до 0,3;0;0;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: станины прокатных станов, зубчатые колеса, тяги, бегунки, задвижки, балансиры, диафрагмы, катки, валки, кронштейны и другие детали, работающие под действием средних статических и динамических нагрузок. 
35НГМЛ;0,32 - 0,42;0,2 - 0,4;0,8 - 1,2;0;0,8 - 1,2;0;0;0;0,15 - 0,25;0;0;до 0,04;до 0,04;0;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: ответственные нагруженные детали, к которым предъявляются требования высокой прочности и достаточной вязкости, работающие под действием статических и динамических нагрузок
35ХГСЛ;0,3 - 0,4;0,6 - 0,8;1 - 1,3;0,6 - 0,9;до 0,3;0;0;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: зубчатые колеса, звездочки, оси,  валы, муфты и другие ответственные детали, к которым предъявляются  требования повышенной износостойкости.
35ХМЛ;0,3 - 0,4;0,2 - 0,4;0,4 - 0,9;0,8 - 1,1;до 0,3;0;0;0;0,2 - 0,3;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: шестерни, крестовины, втулки,  зубчатые венцы и другие детали, работающие с повышенными нагрузками и  требующие повышенной твердости.
35ХМФЛ;0,3 - 0,4;0,2 - 0,4;0,4 - 0,9;0,8 - 1,1;до 0,3;0;0;0;0,08 - 0,12;0;0,06 - 0,12;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: для изготовления деталей  вагоностроения, металлургического оборудования и других деталей тяжелого  и транспортного машиностроения.
35ХН2МЛ;0,3 - 0,4;0,25 - 0,45;0,6 - 0,9;0,5 - 0,8;1,3 - 1,7;0;0;0;0,2 - 0,3;0;0;до 0,04;до 0,04;0;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: зубчатые венцы, зубчатые колеса и  другие сильно нагруженные детали. Сталь имеет повышенную склонность к  камневидному излому и трещинам.
35ХНЛ;0,3 - 0,38;0,2 - 0,42;0,4 - 0,9;0,5 - 0,8;0,7 - 0,9;0;0;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: шестерни, крестовины, втулки, зубчатые колеса экскаваторов, зубчатые венцы, горизонтальные валки сля6ингов.
40Л;0,37 - 0,45;0,2 - 0,52;0,4 - 0,9;до 0,3;до 0,3;0;0;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: станины, корпусы, муфты, тормозные диски, шестерни, кожухи, вилки, звездочки и другие детали, работающие при температурах до 400 °С. 
40ХЛ;0,35 - 0,45;0,2 - 0,4;0,4 - 0,9;0,8 - 1,1;до 0,3;0;0;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: бандажи, секции венца вагоноопрокидывателя, зубчатые колеса и другие детали, требующие повышенной твердости, а также фасонные отливки небольших размеров сложной конфигурации, изготовляемые по выплавляемым моделям. 
45ГЛ;0,42 - 0,5;0,2 - 0,45;0,9 - 1,2;до 0,04;до 0,45;0;0;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: блоки, колеса, звездочки, кулачковые муфты, крупные зубчатые венцы и другие детали, требующие повышенной твердости и прочности.
45Л;0,42 - 0,5;0,2 - 0,52;0,4 - 0,9;до 0,3;до 0,3;0;0;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная ;Применение в промышленности: станины, зубчатые колеса и венцы, тормозные диски, муфты, кожухи, опорные катки, звездочки и другие детали, к которым предъявляются требования повышенной прочности и высокого сопротивления износу и работающие под действием статических и динамических нагрузок. 
45ФЛ;0,42 - 0,5;0,2 - 0,52;0,4 - 0,9;до 0,3;до 0,3;0;0;0;0;0;0,06 - 0,15;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: для деталей машиностроения. 
50Л;0,47 - 0,55;0,2 - 0,52;0,4 - 0,9;до 0,3;до 0,3;0;0;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: шестерни, бегунки, колеса, зубчатые колеса подъемно-транспортных машин, валки крупно-, средне- и мелкосортных станов для прокатки мягкого металла. Сталь применяется в нормализованном или улучшенном состоянии и после поверхностного упрочнения с нагревом ТВЧ. 
55Л;0,52 - 0,6;0,2 - 0,52;0,4 - 0,9;до 0,3;до 0,3;0;0;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: зубчатые колеса и муфты подъемно-транспортных машин, ходовые колеса, бегунки, зубчатые сектора и венцы, полумуфты, скаты, втулки зубчатых муфт и другие детали, к которым предъявляются требования повышенной твердости. 
80ГСЛ;0,8 - 1,1;0,8 - 1,2;1 - 1,5;до 0,5;до 0,5;0;0;0;0;0;0;до 0,05;до 0,05;0;0;0;0;0;0;0;~95;Класс: Сталь для отливок обыкновенная;Использование в промышленности: футеровки шаровых мельниц.
07Х17Н16ТЛ;0,04 - 0,1;0,2 - 0,6;1 - 2;16 - 18;15 - 17;0,005 - 0,15;0;0;0;0;0;до 0,02;до 0,035;0;0;0;0;0;0;0;~64;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: литые фасонные детали ответственного назначения, к которым предъявляются требования по малой магнитной восприимчивости, высокой коррозионной стойкости и хорошей обрабатываемости резанием; сталь аустенитного класса"
07Х18Н9Л;до 0,07;0,2 - 1;1 - 2;17 - 20;8 - 11;0;0;0;0;0;0;до 0,03;до 0,035;до 0,3;0;0;0;0;0;0;~69;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для деталей, жаростойких до 750 град. С; стойких против межкристаллитной коррозии"
08Х14Н7МЛ;до 0,08;0,2 - 0,75;0,3 - 0,9;13 - 15;6 - 8,5;0;0;0;0,5 - 1;0;0;до 0,03;до 0,03;до 0,3;0;0;0;0;0;0;~76;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для коррозионно-стойких деталей, работающих при комнатных и низких (до -196 град.С) температурах; сталь аустенитно - мартенситного класса"
08Х14НДЛ;до 0,08;до 0,4;0,5 - 0,8;13 - 14,5;1,2 - 1,6;0;0;0;0;0;0;до 0,025;до 0,025;0,8 - 1,2;0;0;0;0;0;0;~82;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: детали, работающие в морской воде; сталь мартенситного класса"
08Х15Н4ДМЛ;до 0,08;до 0,4;1 - 1,5;14 - 16;3,5 - 3,9;0;0;0;0,3 - 0,45;0;0;до 0,025;до 0,025;1 - 1,4;0;0;0;0;0;0;~77;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: детали, работающие в морской воде; сталь аустенитно - мартенситного класса"
08Х17Н34В5Т3Ю2РЛ;до 0,08;0,2 - 0,5;0,3 - 0,6;15 - 18;32 - 35;2,6 - 3,2;1,7 - 2,1;4,5 - 5,5;0;0;0;до 0,01;до 0,01;0;0;0;0;0;0;0;34,95 - 43,7;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: сопловые и рабочие лопатки газовых турбин, цельнолитые роторы и другие детали, работающие при температуре до 800 град.; сталь аустенитного класса"
09Х16Н4БЛ;0,05 - 0,13;0,2 - 0,6;0,3 - 0,6;15 - 17;3,5 - 4,5;0;0;0;0;0,05 - 0,2;0;до 0,025;до 0,03;до 0,3;0;0;0;0;0;0;~78;Класс: Сталь для отливок с особыми свойствами;Использование в промышленности: для коррозионно-стойких деталей повышенной прочности, устойчивых против окисления в атмосферных условиях при температуре до 500 град.С
09Х17Н3СЛ;0,05 - 0,12;0,8 - 1,5;0,3 - 0,8;15 - 18;2,8 - 3,8;0;0;0;0;0;0;до 0,03;до 0,035;до 0,3;0;0;0;0;0;0;~78;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для деталей повышенной прочности, работающих в средах средней агрессивности (азотная и слабые органические кислоты, растворы солей органических и неорганических кислот); сталь мартенситного класса"
10Х12НДЛ;до 0,08;0,17 - 0,4;0,2 - 0,6;12 - 13,5;1 - 1,5;0;0;0;0;0;0;до 0,025;до 0,025;0,8 - 1,1;0;0;0;0;0;0;~84;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для деталей, коррозионно-стойких и эрозионно-стойких в условиях проточной воды (детали годротурбин, работающие в условиях кавитационного разрушения); сталь мартенситного класса"
10Х14НДЛ;до 0,1;0,2 - 0,4;0,3 - 0,6;13,5 - 15;1,2 - 1,6;0;0;0;0;0;0;до 0,03;до 0,03;1,2 - 1,6;0;0;0;0;0;0;~82;Класс: Сталь для отливок с особыми свойствами;Использование в промышленности: для деталей, коррозионно-стойких в морской воде и атмосферных условиях(гребные винты и др.)
10Х17Н10Г4МБЛ;до 0,12;до 0,6;3,5 - 4,5;16 - 18;9,5 - 11;0;0;0;0,9 - 1,2;0,7 - 1;0;до 0,025;до 0,025;до 0,3;0;0;0;0;0;0;~65;Класс: Сталь для отливок с особыми свойствами;Использование в промышленности: для коррозионно-стойких и жаропрочных деталей (литые детали энергоустановок)
10Х18Н11БЛ;до 0,1;0,2 - 1;1 - 2;17 - 20;8 - 12;0;0;0;0;0,45 - 0,9;0;до 0,03;до 0,035;до 0,3;0;0;0;0;0;0;~68;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для деталей, работающих при малых нагрузках; сталь жаропрочная до 800 град. С; нечувствительная к межкристаллитной коррозии, аустенитного класса"
10Х18Н3Г3Д2Л;до 0,1;до 0,6;2,3 - 3;17 - 19;3 - 3,5;0;0;0;0;0;0;до 0,03;до 0,03;1,8 - 2,2;0;0;0;0;0;0;~73;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для кавитационно-стойких деталей рабочей части гидротурбин, работающих при напорах, не превышающих 80 л/ч в сечениях до 300 мм; сталь аустенитно - ферритного класса"
10Х18Н9Л;0,07 - 0,14;0,2 - 1;1 - 2;17 - 20;8 - 11;0;0;0;0;0;0;до 0,03;до 0,035;до 0,3;0;0;0;0;0;0;~69;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: различные детали, работающие при  температуре до 400 °С. Сталь жаростойкая до 750 °С, не стойкая в  сернистых газах; сталь аустенитного класса"
110Г13ФТЛ;0,9 - 1,3;0,4 - 0,9;11,5 - 14,5;0;0;0,01 - 0,05;0;0;0;0;0,1 - 0,3;до 0,05;до 0,12;0;0;0;0;0;0;0;~84;Класс: Сталь для отливок с особыми свойствами;Использование в промышленности: корпуса вихревых и шаровых мельниц, щеки дробилок, зубья ковшей экскаваторов и др. детали, работающие на ударный износ
110Г13Х2БРЛ;0,9 - 1,5;0,3 - 1;11,5 - 14,5;1 - 2;до 0,5;0;0;0;0;0,08 - 0,12;0;до 0,05;до 0,12;0;0;0;0;0;0;0;~82;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для продукции с высоким сопротивлением износу при одновременном воздействии высоких давлений или ударных нагрузок; сталь аустенитного класса"
120Г10ФЛ;0,9 - 1,4;0,2 - 0,9;8,5 - 12;до 1;до 1;до 0,15;0;0;0;до 0,01;0,03 - 0,12;до 0,05;до 0,12;до 0,7;0;0;0;0;до 0,03;0;~84;Класс: Сталь для отливок с особыми свойствами;Использование в промышленности: звенья гесениц тракторов и другие детали, работающие в условиях абразивного износа
12Х18Н12БЛ;до 0,12;до 0,55;0,5 - 1;17 - 19;11 - 13;0;0;0;0;0,7 - 1,1;0;до 0,025;до 0,02;до 0,3;0;0;0;0;0;0;~67;Класс: Сталь для отливок с особыми свойствами;"Использование в промышленности: для литых деталей энергоустановок с длительным сроком работы при 600-650 град.С и ограниченным при 700 град.С ; сталь аустенитного класса"
